1635236500.732619
1635240934.843308
1635241834.52075
1636954775.558383,0.39,142
1636962285.198041,0.4,195
1636970176.94911,0.46,154
1636973177.690639,0.95,148
1636986181.690139,1.43,162
1637034950.547439,0.44,165
1637039646.415991,1.53,126
1637039774.910164,0.42,18
1637044242.127008,1.11,168
1637045497.323138,0.68,194
1637046230.681014,0.39,181
1637051274.931802,1.35,145
1637055111.111775,0.42,177
1637055958.387656,0.39,174
1637060776.155445,0.42,142
1637069491.52859,0.43,150
1637102505.992442,0.44,144
1637110422.239755,1.23,156
1637111991.006595,0.42,189
1637112828.402273,1.53,193
1637122191.1694,1.69,150
1637130678.996492,1.63,151
1637137273.336415,0.44,205
1637138047.10188,1.41,156
1637140248.715835,1.53,179
1637141459.422321,1.47,160
1637146254.592183,1.59,167
1637148181.50193,1.53,196
1637148988.553394,0.35,193
1637149895.166663,1.37,199
1637159072.020923,1.15,158
1637164317.758591,0.44,168
1637165662.561667,0.4,164
1637190766.65583,1.7,149
1637201979.526247,1.14,150
1637214957.633177,1.42,172
1637216947.434328,0.41,154
1637219219.04669,1.5,158
1637221079.227855,1.63,163
1637222449.994408,1.42,177
1637223603.677726,0.87,156
1637225553.720545,0.58,169
1637226626.434454,0.91,176
1637230693.907941,0.41,195
1637231471.034591,1.05,211
1637232514.430398,1.48,201
1637239958.006408,0.88,148
1637244942.132029,0.42,156
1637280098.422515,0.38,142
1637291527.614881,0.42,152
1637293622.162146,1.06,154
1637300369.472289,1.29,168
1637310001.119021,1.44,160
1637312029.746253,1.49,156
1637314783.80656,1.53,144
1637316851.610869,1.69,154
1637319952.012807,0.41,152
1637323780.309124,1.0,192
1637324959.187769,0.4,194
1637325929.103963,0.38,207
1637332796.389997,1.03,159
1637363424.020622,1.43,153
1637367087.125114,0.41,148
1637372683.153904,0.41,122
1637372807.186677,0.38,69
1637385174.228442,0.43,182
1637386324.642849,0.81,149
1637404623.051023,0.68,144
1637414737.449728,1.55,154
1637420424.115217,1.53,150
1637461304.665627,0.38,158
1637464931.933872,1.64,166
1637475843.915935,1.62,148
1637488360.935427,1.53,148
1637491304.740713,0.77,176
1637494836.391983,0.47,150
1637500559.227816,1.4,149
1637503791.952174,0.4,191
1637505630.372239,0.44,148
1637538902.401613,0.46,154
1637551242.513818,0.41,144
1637557397.195958,0.41,150
1637562648.662787,1.55,150
1637569864.43776,1.25,182
1637571086.866698,0.4,148
1637573802.616077,0.41,197
1637575646.438968,0.44,152
1637585648.036963,0.51,148
1637591523.699711,0.62,179
1637624531.506031,1.12,150
1637627333.508552,1.16,172
1637630464.826855,1.68,193
1637638707.523209,0.39,144
1637642834.674214,1.31,164
1637655154.742981,0.38,148
1637659714.800935,0.62,174
1637660610.648034,0.44,144
1637666965.742788,1.69,148
1637671525.030726,1.23,156
1637706045.882746,1.53,154
1637709894.109756,0.59,182
1637713800.360468,0.43,184
1637715283.541325,0.44,185
1637726436.757631,0.38,142
1637733478.828347,0.94,156
1637739795.995951,0.41,152
1637744961.655269,0.42,191
1637745722.449874,1.44,195
1637752501.665068,1.09,152
1637755737.266769,0.66,168
1637763223.753442,0.87,150
1637796275.640748,0.44,152
